id,sales
1114,1959.145759143405
1078,1027.4710178769697
1420,2252.497737298273
817,2054.7968963326366
1197,5079.112587918834
465,1915.3244754562875
610,1314.4943947237252
268,2780.283120983815
674,1349.8078966018843
172,2578.635119836972
952,1374.7960984854135
815,1163.426778598512
1292,2577.4084378784346
975,2100.3386358523894
120,551.1353036552032
632,2626.4693965199385
504,2981.237995026654
9,3525.5485914495557
1400,3194.588205532351
180,1395.3979528286814
167,2363.557887633046
1359,3399.7209363495613
424,780.7855614236892
1380,1222.8703275065536
875,2660.6022138559188
1134,1881.100354563578
1317,591.6285925376869
1304,2512.7789866874564
13,3859.6040403837696
329,1690.2566357570804
1474,-541.3079154112509
1159,3636.6156467357523
1467,1226.7175499561054
991,4937.023239627852
1015,2107.4392160690513
822,4758.118268142992
907,2684.8680876224807
309,344.20130609313264
1316,2534.4113834815757
1301,3112.3449472729308
1302,2767.249222080778
1181,344.7199959861955
1548,2146.3852801530393
1380,2807.766689197827
748,1937.3807492175229
252,1365.4741904153475
831,-863.2914126304651
1485,2680.394748022539
382,3607.504715821491
994,1956.602668169773
66,919.9001063587625
619,1274.1187181177902
892,2475.9251802972494
518,1492.1201633480591
1052,4466.588103751451
394,3236.306958435407
151,2611.6509537489533
920,228.7848326163055
616,3035.5917632581795
351,1383.7064302052559
1076,2167.1375514121974
612,2999.6329556134892
1546,3702.098322038847
824,1068.6432255911432
678,2236.8728166075416
215,2905.8161786422406
161,2141.6712091498935
1376,4105.264164652332
491,2530.8241126568123
1526,3326.6472521178475
1530,3075.188120613092
259,3182.0948908000373
1226,2480.893234890733
62,4040.421377778898
1324,3903.781161011192
14,2659.3875463170734
1033,620.476615466152
230,2263.178093445512
140,2683.235837380932
155,1949.9167112705413
11,2244.09124544185
1083,2189.1695698582116
1336,1586.4860773956316
1014,2713.770343063119
1188,2390.657088283848
1062,1626.0866322724637
965,3685.8673948079013
207,3662.4656884396736
859,513.5276528543341
192,2125.9191104128413
677,2584.6920773417633
1118,4931.84212595138
787,3156.8731648689263
995,2039.9665451260007
1493,1580.6783188915392
1236,843.5739393119056
688,1773.888269212116
147,2847.479246979715
1243,2825.9040893601677
1499,949.7761599266746
949,2973.3322321207197
579,1115.3207360785495
1234,2311.1822071535507
400,2069.7003439082146
